text,label
"Udah mau pemilu krg dari setahun jadi si bapak lagi bagi-bagi jabatan ya. Dibuatin Swasta-swasta gajelas nah yg presdiktur nya atau petinggi2nya yg kmren udh bantuin yak. Enak bgt yaa, thn 2024 gue bantuin doa salah satu capres ah siapa tau jadi dirut mana gitu hehehe",0
@opposite6892 Nongol kl mendekati pemilu,1
"@alisyarief Sombong cuman gegara jd pemenang pemilu merasa paling berkuasa.

Ingat PDIP hanya menang di beberapa prov. saja itupun krn sokongan orang jawa. Jangan harap bisa menang lagi ya... krn skrg orang jawanya dah pinter.",1
"@marlina_idha @aniesbaswedan In Syaa Allah,Anies satu satunya pilihanku capres 2024,salam dri timur.Tolong kawan2 relawan kawal pemilu 2024,Anies the president 2024",1
"Bahas Persiapan Pemilu Anambas, Bawaslu RI Sorot Kesiapan Sinyal https://t.co/5n0ZiBb5As",1
"10. Data Pemilih untuk PEMILU 2024 di Lapas/Rutan. Hal ini bertujuan untuk memenuhi 

@Kemenkumham_RI
@kumham_kalsel
#KumhamKalsel
#FaisolAli
#rutanpelaihari
#faniandika",1
@awalkoe Krn itu jangan ampe cheos ... spy Pemilu tetap jalan.,2
"Tujuannya untuk membahas penentuan calon presiden dan calon wakil presiden yang akan diusung di Pemilu 2024.
#PrabowoPerkuatKesehatan #IkutPakde Prabowo Subianto",1
"Mahfud MD pastikan pemilu tetap dilaksanakan sesuai dengan jadwal yang telah ditentukan. Fix tidak ada presiden 3 periode?
https://t.co/JkS54mrjjN https://t.co/Pt4MGVYhb3",1
@republikaonline Tanda2 PDIP 2024 akan dijauhi pemilih dr umat muslim ingat pemilu 2024 pemilih mayoritas muslim loh,1
"@FirzaHusain 5 taun sekali, muncul pas pemilu..itupun dari china 🤣🤣🤣",0
"Tolak Pemilu Coblos Parpol, AHY Waspadai Isu Mengarah ke Pilpres Tak Langsung.
dty

#AHY
AgusYudhoyono
PDemokrat
https://t.co/CgK5tM5mob",1
"Uji Kelayakan dan Kepatutan(UKK) oleh DPP PKB bagi bakal calon legislatif(Bacaleg) DPR RI yang bakal maju dalam Pemilu 2024.
#BacalegPKB 
#GusMuhaiminIskandar https://t.co/vlkKW5MSsU",1
"@HMMurah3 Yang genting itu partai politik tertentu, yang sebentar lagi akan keok dalam pemilu.",1
"@alisyarief Bila hal tsb terus berkelanjutan dgn terus adanya issu krisis global..., bisa jadi suatu saat akan di jadikan alasan untuk penundaan pemilu.",1
"@democrazymedia Apa beda capres dgn bacapres..?!
Apakah bacapres sudah pasti capres..?
Apakah bacapres sudah terikat dgn undang undang Pemilu..?!
Rasanya Panwascam saja sudah tau itu..!",1
Pemerintah juga akan optimalkan KIM (Kelompok Informasi Masyarakat) untuk antisipasi war digital itu. #publisherstory #tugujogja https://t.co/bWNewo4Azg,1
"Projo Wanti-wanti Mahkamah Konstitusi, Jangan Sampai Bikin Keputusan yang Bikin Pemilu Ditunda
https://t.co/HerUvPB0xs https://t.co/IvA6Q09lmm",1
@habiburokhman Siaaaap...pemilu damai dan menangkan,2
